"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.693,0.67,2,-3.537,0,0.0345,0.0958,0.00857,0.432,0.084,119.907,191520,4,"Around Me (feat. Don Toliver)","Gab"
0.605,0.837,0,-5.969,1,0.0796,0.0269,1.77e-05,0.107,0.396,123.01,210457,4,"Old Love","Gab"
0.841,0.585,0,-10.858,1,0.102,0.12,0.00315,0.1,0.123,124.007,174194,4,"All This Time","Gab"
0.68,0.722,7,-5.214,0,0.0683,0.18,0.000137,0.339,0.2,120.012,187990,4,"Motion","Gab"
0.452,0.82,2,-2.828,1,0.0355,0.0129,0,0.0854,0.326,99.002,262507,4,"Back to You","Gab"
0.645,0.852,1,-4.117,0,0.0614,0.332,0.000245,0.119,0.176,118.005,242000,4,"Never Ending","Gab"
0.556,0.832,4,-4.031,0,0.0489,0.00359,8.8e-05,0.181,0.099,124.071,253020,4,"Seen it Coming","Gab"
0.707,0.582,0,-6.308,1,0.0268,0.0153,4.78e-06,0.104,0.272,115.017,229929,4,"Why Can't You Wait","Gab"
0.651,0.709,4,-7.842,1,0.037,0.00461,0.00744,0.0771,0.126,121.02,257985,4,"Inner Light","Gab"
0.857,0.662,7,-9.096,1,0.275,0.0374,2.21e-06,0.414,0.383,89.907,163205,4,"Miss My Dawgs (with Lil Wayne)","Gab"
0.797,0.559,2,-8.241,1,0.256,0.0133,0.000493,0.218,0.347,128.05,353315,4,"Just How I Like It - Extended Mix","Gab"
0.574,0.891,9,-5.613,0,0.0392,0.00836,5.79e-05,0.0454,0.253,123.959,170323,4,"Sparks","Gab"
0.734,0.775,2,-3.257,1,0.179,0.0243,0,0.128,0.321,156.052,172422,4,"Stadiums","Gab"
0.73,0.632,5,-8.442,1,0.0621,0.702,0.000307,0.133,0.384,119.995,180000,4,"What Falling in Love is For - LUKE Remix","Gab"
0.549,0.593,10,-5.573,0,0.0582,0.463,0.000131,0.38,0.211,89.968,184000,4,"Himalayas","Gab"
0.625,0.875,1,-5.836,1,0.0461,0.000476,0.133,0.0971,0.323,122.054,214426,4,"Stay Close - Rosbeh Remix","Gab"
0.746,0.517,10,-7.582,0,0.327,0.0782,0,0.137,0.609,88.987,180098,4,"Treacherous Twins","Gab"
0.626,0.519,9,-8.478,1,0.0313,0.00343,0.000518,0.111,0.315,114.027,301560,4,"Don’t Hold Back","Gab"
