"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track.name","name"
"61",0.841,0.733,1,-5.077,1,0.142,0.0246,0,0.174,0.284,130.009,"audio_features","7xVLFuuYdAvcTfcP3IG3dS","spotify:track:7xVLFuuYdAvcTfcP3IG3dS","https://api.spotify.com/v1/tracks/7xVLFuuYdAvcTfcP3IG3dS","https://api.spotify.com/v1/audio-analysis/7xVLFuuYdAvcTfcP3IG3dS",283693,4,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)","Andrew"
"62",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,"audio_features","4wqzOaLxiCRy2Et8tRyNSX","spotify:track:4wqzOaLxiCRy2Et8tRyNSX","https://api.spotify.com/v1/tracks/4wqzOaLxiCRy2Et8tRyNSX","https://api.spotify.com/v1/audio-analysis/4wqzOaLxiCRy2Et8tRyNSX",234334,4,"The Thrill","Andrew"
"63",0.516,0.626,1,-11.402,1,0.705,0.48,0,0.675,0.726,209.763,"audio_features","7bFElqzAlHXnnINRBXRQbK","spotify:track:7bFElqzAlHXnnINRBXRQbK","https://api.spotify.com/v1/tracks/7bFElqzAlHXnnINRBXRQbK","https://api.spotify.com/v1/audio-analysis/7bFElqzAlHXnnINRBXRQbK",237720,3,"Lil Bit","Andrew"
"64",0.574,0.601,6,-8.937,1,0.0267,0.305,1.67e-06,0.121,0.269,134.94,"audio_features","1RnpSPNzYemgma5sCUtPaX","spotify:track:1RnpSPNzYemgma5sCUtPaX","https://api.spotify.com/v1/tracks/1RnpSPNzYemgma5sCUtPaX","https://api.spotify.com/v1/audio-analysis/1RnpSPNzYemgma5sCUtPaX",176901,4,"Texas Two Step","Andrew"
"65",0.39,0.939,4,-3.828,0,0.0787,5.08e-05,0,0.0968,0.495,161.997,"audio_features","0YZEYxd1oiqZRFhnnmTKKi","spotify:track:0YZEYxd1oiqZRFhnnmTKKi","https://api.spotify.com/v1/tracks/0YZEYxd1oiqZRFhnnmTKKi","https://api.spotify.com/v1/audio-analysis/0YZEYxd1oiqZRFhnnmTKKi",205394,4,"Another Life","Andrew"
"66",0.475,0.476,2,-5.954,1,0.0283,0.833,0,0.0982,0.17,147.042,"audio_features","0WqHYUiGuqkC7koA2l5Ou1","spotify:track:0WqHYUiGuqkC7koA2l5Ou1","https://api.spotify.com/v1/tracks/0WqHYUiGuqkC7koA2l5Ou1","https://api.spotify.com/v1/audio-analysis/0WqHYUiGuqkC7koA2l5Ou1",174828,4,"without you with me","Andrew"
"67",0.346,0.939,5,-3.061,1,0.182,0.000231,0,0.433,0.526,183.147,"audio_features","5fpq1wF8xa5tSSlcKHdmGQ","spotify:track:5fpq1wF8xa5tSSlcKHdmGQ","https://api.spotify.com/v1/tracks/5fpq1wF8xa5tSSlcKHdmGQ","https://api.spotify.com/v1/audio-analysis/5fpq1wF8xa5tSSlcKHdmGQ",195748,3,"sTraNgeRs","Andrew"
"68",0.591,0.814,4,-4.986,1,0.0468,0.015,0,0.117,0.815,149.9,"audio_features","13G5xv1wUKvJYbK0wYmioN","spotify:track:13G5xv1wUKvJYbK0wYmioN","https://api.spotify.com/v1/tracks/13G5xv1wUKvJYbK0wYmioN","https://api.spotify.com/v1/audio-analysis/13G5xv1wUKvJYbK0wYmioN",195760,4,"Circles Around This Town","Andrew"
"69",0.432,0.27,9,-12.95,1,0.0347,0.866,0,0.105,0.341,148.586,"audio_features","2m4Rz3Pn5tN7MFth0kHgSL","spotify:track:2m4Rz3Pn5tN7MFth0kHgSL","https://api.spotify.com/v1/tracks/2m4Rz3Pn5tN7MFth0kHgSL","https://api.spotify.com/v1/audio-analysis/2m4Rz3Pn5tN7MFth0kHgSL",227367,4,"Pitchin' fits","Andrew"
"70",0.554,0.38,9,-10.666,1,0.0314,0.526,0,0.213,0.284,118.925,"audio_features","16ufCOlMEIJkFstIYtQT4w","spotify:track:16ufCOlMEIJkFstIYtQT4w","https://api.spotify.com/v1/tracks/16ufCOlMEIJkFstIYtQT4w","https://api.spotify.com/v1/audio-analysis/16ufCOlMEIJkFstIYtQT4w",213754,4,"Run Away to Mars","Andrew"
"71",0.455,0.4,2,-7.749,1,0.0293,0.546,0,0.0971,0.103,139.828,"audio_features","6mDokQBBmkDhu7uDEFhyQ7","spotify:track:6mDokQBBmkDhu7uDEFhyQ7","https://api.spotify.com/v1/tracks/6mDokQBBmkDhu7uDEFhyQ7","https://api.spotify.com/v1/audio-analysis/6mDokQBBmkDhu7uDEFhyQ7",219640,4,"Try Losing One","Andrew"
"72",0.47,0.594,6,-7.063,0,0.0284,0.399,0,0.0686,0.211,73.492,"audio_features","0GmZftxnwknUcgSHvNkNA0","spotify:track:0GmZftxnwknUcgSHvNkNA0","https://api.spotify.com/v1/tracks/0GmZftxnwknUcgSHvNkNA0","https://api.spotify.com/v1/audio-analysis/0GmZftxnwknUcgSHvNkNA0",247449,4,"Doomed (Acoustic)","Andrew"
"73",0.426,0.389,4,-8.063,1,0.0269,0.831,0.000228,0.0963,0.17,154.246,"audio_features","1ehMNecFGwZu0tmCImU473","spotify:track:1ehMNecFGwZu0tmCImU473","https://api.spotify.com/v1/tracks/1ehMNecFGwZu0tmCImU473","https://api.spotify.com/v1/audio-analysis/1ehMNecFGwZu0tmCImU473",204973,3,"let go of your love","Andrew"
"74",0.426,0.972,0,-5.122,1,0.0954,0.0017,0,0.171,0.341,111.221,"audio_features","6WkSUgo1VdpzgtiXKlFPcY","spotify:track:6WkSUgo1VdpzgtiXKlFPcY","https://api.spotify.com/v1/tracks/6WkSUgo1VdpzgtiXKlFPcY","https://api.spotify.com/v1/audio-analysis/6WkSUgo1VdpzgtiXKlFPcY",165373,4,"Dammit","Andrew"
"75",0.626,0.357,3,-7.719,1,0.0296,0.766,0,0.0811,0.366,134.908,"audio_features","6vU59QhohXF5a9hzPs8A4x","spotify:track:6vU59QhohXF5a9hzPs8A4x","https://api.spotify.com/v1/tracks/6vU59QhohXF5a9hzPs8A4x","https://api.spotify.com/v1/audio-analysis/6vU59QhohXF5a9hzPs8A4x",245205,4,"Jamie All Over - Acoustic","Andrew"
"76",0.536,0.367,1,-7.985,0,0.027,0.695,0,0.11,0.139,129.934,"audio_features","6D7LRj1WlFgBE5liAmjzvu","spotify:track:6D7LRj1WlFgBE5liAmjzvu","https://api.spotify.com/v1/tracks/6D7LRj1WlFgBE5liAmjzvu","https://api.spotify.com/v1/audio-analysis/6D7LRj1WlFgBE5liAmjzvu",278625,4,"End of a Good Thing","Andrew"
"77",0.503,0.398,6,-10.855,0,0.0304,0.317,0,0.121,0.62,170.002,"audio_features","7mSgUS6LGK7Q8KoSHb0P4q","spotify:track:7mSgUS6LGK7Q8KoSHb0P4q","https://api.spotify.com/v1/tracks/7mSgUS6LGK7Q8KoSHb0P4q","https://api.spotify.com/v1/audio-analysis/7mSgUS6LGK7Q8KoSHb0P4q",220941,4,"Into The Dark (Acoustic)","Andrew"
"78",0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,"audio_features","3WMj8moIAXJhHsyLaqIIHI","spotify:track:3WMj8moIAXJhHsyLaqIIHI","https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI","https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI",228013,3,"Something in the Orange","Andrew"
"79",0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,"audio_features","6Tm4Io4ct4w14nB1EUzsY3","spotify:track:6Tm4Io4ct4w14nB1EUzsY3","https://api.spotify.com/v1/tracks/6Tm4Io4ct4w14nB1EUzsY3","https://api.spotify.com/v1/audio-analysis/6Tm4Io4ct4w14nB1EUzsY3",183790,4,"Whiskey On You","Andrew"
"80",0.523,0.837,7,-4.494,1,0.0335,0.301,0,0.172,0.523,82.006,"audio_features","6MBUUSIWCzaXW4q58Ktrv9","spotify:track:6MBUUSIWCzaXW4q58Ktrv9","https://api.spotify.com/v1/tracks/6MBUUSIWCzaXW4q58Ktrv9","https://api.spotify.com/v1/audio-analysis/6MBUUSIWCzaXW4q58Ktrv9",193929,4,"Slow Dance In A Parking Lot","Andrew"
"81",0.558,0.66,7,-6.223,1,0.0273,0.416,0,0.139,0.388,75.009,"audio_features","34SQ0QfLSR316d8KL2zkuZ","spotify:track:34SQ0QfLSR316d8KL2zkuZ","https://api.spotify.com/v1/tracks/34SQ0QfLSR316d8KL2zkuZ","https://api.spotify.com/v1/audio-analysis/34SQ0QfLSR316d8KL2zkuZ",220893,4,"With You I Am","Andrew"
